cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_obitos;obitos_mal_definidas;PROP_MAL_DEFINIDAS;TX_MAL_DEFINIDAS_P10K;ANO
171190;1711902;Lagoa da Confusão;TO;2021;13989;Original;88;1;1.1363636363636365;0.714847380084352;2021
171195;1711951;Lagoa do Tocantins;TO;2021;4470;Original;30;0;0.0;0.0;2021
171200;1712009;Lajeado;TO;2021;3199;Original;24;2;8.333333333333332;6.251953735542356;2021
171215;1712157;Lavandeira;TO;2021;1984;Original;11;1;9.090909090909092;5.040322580645161;2021
171240;1712405;Lizarda;TO;2021;3727;Original;23;2;8.695652173913043;5.3662463107056615;2021
171245;1712454;Luzinópolis;TO;2021;3200;Original;17;0;0.0;0.0;2021
171250;1712504;Marianópolis do Tocantins;TO;2021;5332;Original;35;2;5.714285714285714;3.7509377344336086;2021
171270;1712702;Mateiros;TO;2021;2773;Original;14;0;0.0;0.0;2021
171280;1712801;Maurilândia do Tocantins;TO;2021;3470;Original;21;0;0.0;0.0;2021
171320;1713205;Miracema do Tocantins;TO;2021;17628;Original;191;6;3.1413612565445024;3.4036759700476513;2021
171330;1713304;Miranorte;TO;2021;13551;Original;140;3;2.142857142857143;2.2138587558113794;2021
171360;1713601;Monte do Carmo;TO;2021;8182;Original;43;1;2.3255813953488373;1.2221950623319482;2021
171370;1713700;Monte Santo do Tocantins;TO;2021;2311;Original;25;2;8.0;8.654262224145391;2021
171380;1713809;Palmeiras do Tocantins;TO;2021;6830;Original;35;4;11.428571428571429;5.856515373352855;2021
171395;1713957;Muricilândia;TO;2021;3623;Original;30;0;0.0;0.0;2021
171420;1714203;Natividade;TO;2021;9256;Original;95;4;4.2105263157894735;4.32152117545376;2021
171430;1714302;Nazaré;TO;2021;3772;Original;42;0;0.0;0.0;2021
171488;1714880;Nova Olinda;TO;2021;12014;Original;100;0;0.0;0.0;2021
171500;1715002;Nova Rosalândia;TO;2021;4348;Original;34;0;0.0;0.0;2021
171510;1715101;Novo Acordo;TO;2021;4450;Original;30;1;3.3333333333333335;2.247191011235955;2021
171515;1715150;Novo Alegre;TO;2021;2332;Original;21;2;9.523809523809524;8.576329331046312;2021
171525;1715259;Novo Jardim;TO;2021;2768;Original;14;1;7.142857142857142;3.61271676300578;2021
171550;1715507;Oliveira de Fátima;TO;2021;1124;Original;11;0;0.0;0.0;2021
171570;1715705;Palmeirante;TO;2021;6234;Original;36;0;0.0;0.0;2021
171575;1715754;Palmeirópolis;TO;2021;7694;Original;81;1;1.2345679012345678;1.2997140629061605;2021
171610;1716109;Paraíso do Tocantins;TO;2021;52521;Original;432;1;0.23148148148148145;0.1904000304640049;2021
171620;1716208;Paranã;TO;2021;10426;Original;66;0;0.0;0.0;2021
171630;1716307;Pau D'Arco;TO;2021;4885;Original;34;2;5.88235294117647;4.094165813715455;2021
171650;1716505;Pedro Afonso;TO;2021;13964;Original;101;13;12.871287128712872;9.309653394442854;2021
171660;1716604;Peixe;TO;2021;11996;Original;93;0;0.0;0.0;2021
171665;1716653;Pequizeiro;TO;2021;5546;Original;30;2;6.666666666666667;3.606202668589975;2021
171670;1716703;Colméia;TO;2021;8078;Original;80;0;0.0;0.0;2021
171700;1717008;Pindorama do Tocantins;TO;2021;4414;Original;33;4;12.121212121212121;9.062075215224286;2021
171720;1717206;Piraquê;TO;2021;3038;Original;11;0;0.0;0.0;2021
171750;1717503;Pium;TO;2021;7830;Original;46;2;4.3478260869565215;2.554278416347382;2021
171780;1717800;Ponte Alta do Bom Jesus;TO;2021;4586;Original;38;0;0.0;0.0;2021
171790;1717909;Ponte Alta do Tocantins;TO;2021;8192;Original;44;0;0.0;0.0;2021
171800;1718006;Porto Alegre do Tocantins;TO;2021;3200;Original;19;2;10.526315789473683;6.25;2021
171820;1718204;Porto Nacional;TO;2021;53618;Original;537;6;1.1173184357541899;1.1190271923607744;2021
171830;1718303;Praia Norte;TO;2021;8563;Original;60;1;1.6666666666666667;1.1678150181011329;2021
171840;1718402;Presidente Kennedy;TO;2021;3668;Original;35;2;5.714285714285714;5.452562704471101;2021
171845;1718451;Pugmil;TO;2021;2746;Original;18;0;0.0;0.0;2021
171850;1718501;Recursolândia;TO;2021;4389;Original;24;0;0.0;0.0;2021
171855;1718550;Riachinho;TO;2021;4723;Original;33;0;0.0;0.0;2021
171865;1718659;Rio da Conceição;TO;2021;2211;Original;21;0;0.0;0.0;2021
171870;1718709;Rio dos Bois;TO;2021;2879;Original;31;0;0.0;0.0;2021
171875;1718758;Rio Sono;TO;2021;6498;Original;29;0;0.0;0.0;2021
171880;1718808;Sampaio;TO;2021;4876;Original;34;2;5.88235294117647;4.1017227235438884;2021
171884;1718840;Sandolândia;TO;2021;3371;Original;26;0;0.0;0.0;2021
171886;1718865;Santa Fé do Araguaia;TO;2021;7678;Original;47;2;4.25531914893617;2.6048450117218027;2021
171888;1718881;Santa Maria do Tocantins;TO;2021;3537;Original;18;0;0.0;0.0;2021
171889;1718899;Santa Rita do Tocantins;TO;2021;2407;Original;12;0;0.0;0.0;2021
171890;1718907;Santa Rosa do Tocantins;TO;2021;4864;Original;34;2;5.88235294117647;4.1118421052631575;2021
171900;1719004;Santa Tereza do Tocantins;TO;2021;2928;Original;29;2;6.896551724137931;6.830601092896175;2021
172000;1720002;Santa Terezinha do Tocantins;TO;2021;2530;Original;16;2;12.5;7.905138339920948;2021
172010;1720101;São Bento do Tocantins;TO;2021;5457;Original;36;3;8.333333333333332;5.497526113249038;2021
172015;1720150;São Félix do Tocantins;TO;2021;1610;Original;11;0;0.0;0.0;2021
172020;1720200;São Miguel do Tocantins;TO;2021;12445;Original;69;1;1.4492753623188406;0.8035355564483728;2021
172025;1720259;São Salvador do Tocantins;TO;2021;3106;Original;17;0;0.0;0.0;2021
172030;1720309;São Sebastião do Tocantins;TO;2021;4898;Original;40;3;7.5;6.124948958758678;2021
172049;1720499;São Valério;TO;2021;3848;Original;42;0;0.0;0.0;2021
172065;1720655;Silvanópolis;TO;2021;5452;Original;50;0;0.0;0.0;2021
172080;1720804;Sítio Novo do Tocantins;TO;2021;8965;Original;58;0;0.0;0.0;2021
172085;1720853;Sucupira;TO;2021;2007;Original;12;0;0.0;0.0;2021
172090;1720903;Taguatinga;TO;2021;16966;Original;131;1;0.7633587786259541;0.5894141223623718;2021
172093;1720937;Taipas do Tocantins;TO;2021;2183;Original;8;1;12.5;4.580852038479157;2021
172097;1720978;Talismã;TO;2021;2831;Original;13;0;0.0;0.0;2021
172100;1721000;Palmas;TO;2021;313349;Original;1674;35;2.0908004778972518;1.1169654283243284;2021
172110;1721109;Tocantínia;TO;2021;7688;Original;46;7;15.217391304347828;9.105098855359001;2021
172120;1721208;Tocantinópolis;TO;2021;22820;Original;166;1;0.6024096385542169;0.43821209465381245;2021
172125;1721257;Tupirama;TO;2021;1952;Original;5;0;0.0;0.0;2021
172130;1721307;Tupiratins;TO;2021;2785;Original;9;2;22.22222222222222;7.18132854578097;2021
172208;1722081;Wanderlândia;TO;2021;11783;Original;94;0;0.0;0.0;2021
172210;1722107;Xambioá;TO;2021;11500;Original;102;2;1.9607843137254901;1.7391304347826089;2021
170025;1700251;Abreulândia;TO;2022;2626;Estimativa (Spline);16;0;0.0;0.0;2022
170030;1700301;Aguiarnópolis;TO;2022;6938;Estimativa (Spline);37;0;0.0;0.0;2022
170035;1700350;Aliança do Tocantins;TO;2022;5267;Estimativa (Spline);51;0;0.0;0.0;2022
170040;1700400;Almas;TO;2022;6823;Estimativa (Spline);54;1;1.8518518518518516;1.465630954125751;2022
170070;1700707;Alvorada;TO;2022;8439;Estimativa (Spline);53;0;0.0;0.0;2022
170100;1701002;Ananás;TO;2022;9508;Estimativa (Spline);65;0;0.0;0.0;2022
170105;1701051;Angico;TO;2022;3440;Estimativa (Spline);26;0;0.0;0.0;2022
170110;1701101;Aparecida do Rio Negro;TO;2022;4956;Estimativa (Spline);32;0;0.0;0.0;2022
170130;1701309;Aragominas;TO;2022;5658;Estimativa (Spline);27;0;0.0;0.0;2022
170190;1701903;Araguacema;TO;2022;7168;Estimativa (Spline);27;0;0.0;0.0;2022
170200;1702000;Araguaçu;TO;2022;8373;Estimativa (Spline);62;1;1.6129032258064515;1.1943150603129105;2022
170210;1702109;Araguaína;TO;2022;187955;Estimativa (Spline);1072;23;2.1455223880597014;1.2236971615546275;2022
170215;1702158;Araguanã;TO;2022;5767;Estimativa (Spline);39;3;7.6923076923076925;5.202011444425178;2022
170220;1702208;Araguatins;TO;2022;36575;Estimativa (Spline);204;11;5.392156862745098;3.007518796992481;2022
170230;1702307;Arapoema;TO;2022;6481;Estimativa (Spline);49;3;6.122448979591836;4.628915290850178;2022
170240;1702406;Arraias;TO;2022;10485;Estimativa (Spline);78;10;12.82051282051282;9.537434430138292;2022
170255;1702554;Augustinópolis;TO;2022;18974;Estimativa (Spline);121;3;2.479338842975207;1.5811109939917782;2022
170270;1702703;Aurora do Tocantins;TO;2022;3794;Estimativa (Spline);24;1;4.166666666666666;2.635740643120717;2022
170290;1702901;Axixá do Tocantins;TO;2022;9919;Estimativa (Spline);91;2;2.197802197802198;2.0163322915616493;2022
170300;1703008;Babaçulândia;TO;2022;10413;Estimativa (Spline);63;2;3.1746031746031744;1.9206760779794487;2022
170305;1703057;Bandeirantes do Tocantins;TO;2022;3652;Estimativa (Spline);21;1;4.761904761904762;2.738225629791895;2022
170307;1703073;Barra do Ouro;TO;2022;4702;Estimativa (Spline);36;0;0.0;0.0;2022
170310;1703107;Barrolândia;TO;2022;5615;Estimativa (Spline);44;2;4.545454545454546;3.5618878005342833;2022
170320;1703206;Bernardo Sayão;TO;2022;4424;Estimativa (Spline);23;2;8.695652173913043;4.520795660036166;2022
170330;1703305;Bom Jesus do Tocantins;TO;2022;5117;Estimativa (Spline);26;1;3.8461538461538463;1.9542700801250732;2022
170360;1703602;Brasilândia do Tocantins;TO;2022;2210;Estimativa (Spline);9;0;0.0;0.0;2022
170370;1703701;Brejinho de Nazaré;TO;2022;5489;Estimativa (Spline);52;1;1.9230769230769231;1.8218254691200584;2022
170380;1703800;Buriti do Tocantins;TO;2022;11665;Estimativa (Spline);62;0;0.0;0.0;2022
170382;1703826;Cachoeirinha;TO;2022;2273;Estimativa (Spline);16;1;6.25;4.399472063352398;2022
170384;1703842;Campos Lindos;TO;2022;10508;Estimativa (Spline);47;0;0.0;0.0;2022
170386;1703867;Cariri do Tocantins;TO;2022;4511;Estimativa (Spline);28;0;0.0;0.0;2022
170388;1703883;Carmolândia;TO;2022;2612;Estimativa (Spline);13;0;0.0;0.0;2022
170389;1703891;Carrasco Bonito;TO;2022;4119;Estimativa (Spline);29;1;3.4482758620689653;2.4277737314882253;2022
170390;1703909;Caseara;TO;2022;5522;Estimativa (Spline);19;1;5.263157894736842;1.8109380659181455;2022
170410;1704105;Centenário;TO;2022;2913;Estimativa (Spline);16;0;0.0;0.0;2022
170460;1704600;Chapada de Areia;TO;2022;1433;Estimativa (Spline);7;0;0.0;0.0;2022
170510;1705102;Chapada da Natividade;TO;2022;3318;Estimativa (Spline);23;0;0.0;0.0;2022
170550;1705508;Colinas do Tocantins;TO;2022;36560;Estimativa (Spline);224;1;0.4464285714285714;0.27352297592997815;2022
170555;1705557;Combinado;TO;2022;4881;Estimativa (Spline);37;0;0.0;0.0;2022
