cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;n_medicos;TAXA_MEDICOS;ANO;MES
171270;1712702;Mateiros;TO;2021;2773;Original;2;0.721240533717995;2021;0
171280;1712801;Maurilândia do Tocantins;TO;2021;3470;Original;2;0.5763688760806917;2021;0
171320;1713205;Miracema do Tocantins;TO;2021;17628;Original;2;0.11345586566825505;2021;0
171330;1713304;Miranorte;TO;2021;13551;Original;2;0.14759058372075862;2021;0
171360;1713601;Monte do Carmo;TO;2021;8182;Original;2;0.24443901246638963;2021;0
171370;1713700;Monte Santo do Tocantins;TO;2021;2311;Original;2;0.8654262224145391;2021;0
171380;1713809;Palmeiras do Tocantins;TO;2021;6830;Original;2;0.29282576866764276;2021;0
171395;1713957;Muricilândia;TO;2021;3623;Original;2;0.5520287054926857;2021;0
171420;1714203;Natividade;TO;2021;9256;Original;2;0.21607605877268798;2021;0
171430;1714302;Nazaré;TO;2021;3772;Original;2;0.5302226935312832;2021;0
171488;1714880;Nova Olinda;TO;2021;12014;Original;2;0.166472448809722;2021;0
171500;1715002;Nova Rosalândia;TO;2021;4348;Original;2;0.45998160073597055;2021;0
171510;1715101;Novo Acordo;TO;2021;4450;Original;2;0.44943820224719105;2021;0
171515;1715150;Novo Alegre;TO;2021;2332;Original;2;0.8576329331046312;2021;0
171525;1715259;Novo Jardim;TO;2021;2768;Original;1;0.361271676300578;2021;0
171550;1715507;Oliveira de Fátima;TO;2021;1124;Original;1;0.889679715302491;2021;0
171570;1715705;Palmeirante;TO;2021;6234;Original;2;0.32082130253448826;2021;0
171575;1715754;Palmeirópolis;TO;2021;7694;Original;2;0.2599428125812321;2021;0
171610;1716109;Paraíso do Tocantins;TO;2021;52521;Original;2;0.038080006092800975;2021;0
171620;1716208;Paranã;TO;2021;10426;Original;2;0.1918281220026856;2021;0
171630;1716307;Pau D'Arco;TO;2021;4885;Original;2;0.4094165813715455;2021;0
171650;1716505;Pedro Afonso;TO;2021;13964;Original;2;0.14322543683758235;2021;0
171660;1716604;Peixe;TO;2021;11996;Original;2;0.16672224074691563;2021;0
171665;1716653;Pequizeiro;TO;2021;5546;Original;2;0.3606202668589975;2021;0
171670;1716703;Colméia;TO;2021;8078;Original;2;0.24758603614756128;2021;0
171700;1717008;Pindorama do Tocantins;TO;2021;4414;Original;2;0.45310376076121434;2021;0
171720;1717206;Piraquê;TO;2021;3038;Original;2;0.6583278472679394;2021;0
171750;1717503;Pium;TO;2021;7830;Original;2;0.2554278416347382;2021;0
171780;1717800;Ponte Alta do Bom Jesus;TO;2021;4586;Original;2;0.4361098996947231;2021;0
171790;1717909;Ponte Alta do Tocantins;TO;2021;8192;Original;2;0.244140625;2021;0
171800;1718006;Porto Alegre do Tocantins;TO;2021;3200;Original;1;0.3125;2021;0
171820;1718204;Porto Nacional;TO;2021;53618;Original;2;0.03730090641202581;2021;0
171830;1718303;Praia Norte;TO;2021;8563;Original;2;0.23356300362022656;2021;0
171840;1718402;Presidente Kennedy;TO;2021;3668;Original;2;0.5452562704471101;2021;0
171845;1718451;Pugmil;TO;2021;2746;Original;1;0.3641660597232338;2021;0
171850;1718501;Recursolândia;TO;2021;4389;Original;1;0.22784233310549099;2021;0
171855;1718550;Riachinho;TO;2021;4723;Original;2;0.4234596654668643;2021;0
171865;1718659;Rio da Conceição;TO;2021;2211;Original;2;0.9045680687471732;2021;0
171870;1718709;Rio dos Bois;TO;2021;2879;Original;1;0.3473428273706148;2021;0
171875;1718758;Rio Sono;TO;2021;6498;Original;2;0.3077870113881194;2021;0
171880;1718808;Sampaio;TO;2021;4876;Original;2;0.41017227235438886;2021;0
171884;1718840;Sandolândia;TO;2021;3371;Original;2;0.5932957579353308;2021;0
171886;1718865;Santa Fé do Araguaia;TO;2021;7678;Original;2;0.26048450117218025;2021;0
171888;1718881;Santa Maria do Tocantins;TO;2021;3537;Original;2;0.5654509471303364;2021;0
171889;1718899;Santa Rita do Tocantins;TO;2021;2407;Original;2;0.8309098462816784;2021;0
171890;1718907;Santa Rosa do Tocantins;TO;2021;4864;Original;2;0.41118421052631576;2021;0
171900;1719004;Santa Tereza do Tocantins;TO;2021;2928;Original;2;0.6830601092896175;2021;0
172000;1720002;Santa Terezinha do Tocantins;TO;2021;2530;Original;1;0.3952569169960474;2021;0
172010;1720101;São Bento do Tocantins;TO;2021;5457;Original;2;0.3665017408832692;2021;0
172015;1720150;São Félix do Tocantins;TO;2021;1610;Original;1;0.6211180124223603;2021;0
172020;1720200;São Miguel do Tocantins;TO;2021;12445;Original;2;0.16070711128967455;2021;0
172025;1720259;São Salvador do Tocantins;TO;2021;3106;Original;2;0.643915003219575;2021;0
172030;1720309;São Sebastião do Tocantins;TO;2021;4898;Original;2;0.4083299305839118;2021;0
172049;1720499;São Valério;TO;2021;3848;Original;2;0.5197505197505198;2021;0
172065;1720655;Silvanópolis;TO;2021;5452;Original;2;0.36683785766691124;2021;0
172080;1720804;Sítio Novo do Tocantins;TO;2021;8965;Original;2;0.2230897936419409;2021;0
172085;1720853;Sucupira;TO;2021;2007;Original;2;0.996512207274539;2021;0
172090;1720903;Taguatinga;TO;2021;16966;Original;2;0.11788282447247436;2021;0
172093;1720937;Taipas do Tocantins;TO;2021;2183;Original;1;0.45808520384791573;2021;0
172097;1720978;Talismã;TO;2021;2831;Original;2;0.7064641469445425;2021;0
172100;1721000;Palmas;TO;2021;313349;Original;2;0.006382659590424734;2021;0
172110;1721109;Tocantínia;TO;2021;7688;Original;2;0.2601456815816858;2021;0
172120;1721208;Tocantinópolis;TO;2021;22820;Original;2;0.0876424189307625;2021;0
172125;1721257;Tupirama;TO;2021;1952;Original;1;0.5122950819672132;2021;0
172130;1721307;Tupiratins;TO;2021;2785;Original;2;0.718132854578097;2021;0
172208;1722081;Wanderlândia;TO;2021;11783;Original;2;0.16973606042603753;2021;0
172210;1722107;Xambioá;TO;2021;11500;Original;2;0.1739130434782609;2021;0
170025;1700251;Abreulândia;TO;2022;2626;Estimativa (Spline);2;0.7616146230007617;2022;0
170030;1700301;Aguiarnópolis;TO;2022;6938;Estimativa (Spline);1;0.14413375612568463;2022;0
170035;1700350;Aliança do Tocantins;TO;2022;5267;Estimativa (Spline);2;0.37972280235428135;2022;0
170040;1700400;Almas;TO;2022;6823;Estimativa (Spline);2;0.29312619082515023;2022;0
170070;1700707;Alvorada;TO;2022;8439;Estimativa (Spline);2;0.2369949046095509;2022;0
170100;1701002;Ananás;TO;2022;9508;Estimativa (Spline);2;0.2103491796381994;2022;0
170105;1701051;Angico;TO;2022;3440;Estimativa (Spline);2;0.5813953488372093;2022;0
170110;1701101;Aparecida do Rio Negro;TO;2022;4956;Estimativa (Spline);2;0.4035512510088781;2022;0
170130;1701309;Aragominas;TO;2022;5658;Estimativa (Spline);1;0.17674089784376104;2022;0
170190;1701903;Araguacema;TO;2022;7168;Estimativa (Spline);2;0.27901785714285715;2022;0
170200;1702000;Araguaçu;TO;2022;8373;Estimativa (Spline);2;0.2388630120625821;2022;0
170210;1702109;Araguaína;TO;2022;187955;Estimativa (Spline);2;0.010640844883083717;2022;0
170215;1702158;Araguanã;TO;2022;5767;Estimativa (Spline);2;0.3468007629616785;2022;0
170220;1702208;Araguatins;TO;2022;36575;Estimativa (Spline);2;0.05468215994531784;2022;0
170230;1702307;Arapoema;TO;2022;6481;Estimativa (Spline);2;0.3085943527233451;2022;0
170240;1702406;Arraias;TO;2022;10485;Estimativa (Spline);2;0.19074868860276584;2022;0
170255;1702554;Augustinópolis;TO;2022;18974;Estimativa (Spline);2;0.10540739959945188;2022;0
170270;1702703;Aurora do Tocantins;TO;2022;3794;Estimativa (Spline);1;0.2635740643120717;2022;0
170290;1702901;Axixá do Tocantins;TO;2022;9919;Estimativa (Spline);2;0.20163322915616494;2022;0
170300;1703008;Babaçulândia;TO;2022;10413;Estimativa (Spline);2;0.19206760779794488;2022;0
170305;1703057;Bandeirantes do Tocantins;TO;2022;3652;Estimativa (Spline);2;0.547645125958379;2022;0
170307;1703073;Barra do Ouro;TO;2022;4702;Estimativa (Spline);2;0.4253509145044662;2022;0
170310;1703107;Barrolândia;TO;2022;5615;Estimativa (Spline);2;0.35618878005342836;2022;0
170320;1703206;Bernardo Sayão;TO;2022;4424;Estimativa (Spline);2;0.4520795660036166;2022;0
170330;1703305;Bom Jesus do Tocantins;TO;2022;5117;Estimativa (Spline);2;0.39085401602501463;2022;0
170360;1703602;Brasilândia do Tocantins;TO;2022;2210;Estimativa (Spline);1;0.45248868778280543;2022;0
170370;1703701;Brejinho de Nazaré;TO;2022;5489;Estimativa (Spline);2;0.36436509382401167;2022;0
170380;1703800;Buriti do Tocantins;TO;2022;11665;Estimativa (Spline);2;0.17145306472353194;2022;0
170382;1703826;Cachoeirinha;TO;2022;2273;Estimativa (Spline);1;0.4399472063352398;2022;0
170384;1703842;Campos Lindos;TO;2022;10508;Estimativa (Spline);2;0.1903311762466692;2022;0
170386;1703867;Cariri do Tocantins;TO;2022;4511;Estimativa (Spline);2;0.4433606739082243;2022;0
170388;1703883;Carmolândia;TO;2022;2612;Estimativa (Spline);1;0.38284839203675347;2022;0
170389;1703891;Carrasco Bonito;TO;2022;4119;Estimativa (Spline);2;0.48555474629764506;2022;0
170390;1703909;Caseara;TO;2022;5522;Estimativa (Spline);2;0.36218761318362913;2022;0
170410;1704105;Centenário;TO;2022;2913;Estimativa (Spline);1;0.34328870580157916;2022;0
170460;1704600;Chapada de Areia;TO;2022;1433;Estimativa (Spline);2;1.3956734124214933;2022;0
170510;1705102;Chapada da Natividade;TO;2022;3318;Estimativa (Spline);1;0.3013863773357444;2022;0
170550;1705508;Colinas do Tocantins;TO;2022;36560;Estimativa (Spline);2;0.05470459518599562;2022;0
170555;1705557;Combinado;TO;2022;4881;Estimativa (Spline);1;0.2048760499897562;2022;0
170560;1705607;Conceição do Tocantins;TO;2022;4049;Estimativa (Spline);2;0.4939491232403062;2022;0
170600;1706001;Couto Magalhães;TO;2022;5713;Estimativa (Spline);2;0.3500787677227376;2022;0
170610;1706100;Cristalândia;TO;2022;7189;Estimativa (Spline);2;0.2782028098483795;2022;0
170625;1706258;Crixás do Tocantins;TO;2022;1738;Estimativa (Spline);1;0.5753739930955121;2022;0
170650;1706506;Darcinópolis;TO;2022;6289;Estimativa (Spline);2;0.3180155827635554;2022;0
170700;1707009;Dianópolis;TO;2022;22493;Estimativa (Spline);2;0.08891655181612057;2022;0
170710;1707108;Divinópolis do Tocantins;TO;2022;7048;Estimativa (Spline);2;0.28376844494892167;2022;0
170720;1707207;Dois Irmãos do Tocantins;TO;2022;7097;Estimativa (Spline);2;0.2818092151613358;2022;0
170730;1707306;Dueré;TO;2022;4654;Estimativa (Spline);2;0.42973785990545765;2022;0
170740;1707405;Esperantina;TO;2022;11044;Estimativa (Spline);2;0.18109380659181457;2022;0
170755;1707553;Fátima;TO;2022;3793;Estimativa (Spline);1;0.2636435539151068;2022;0
170765;1707652;Figueirópolis;TO;2022;5218;Estimativa (Spline);2;0.3832886163280951;2022;0
170770;1707702;Filadélfia;TO;2022;8812;Estimativa (Spline);2;0.22696323195642307;2022;0
170820;1708205;Formoso do Araguaia;TO;2022;18433;Estimativa (Spline);2;0.10850105788531438;2022;0
170825;1708254;Tabocão;TO;2022;2721;Estimativa (Spline);2;0.735023888276369;2022;0
170830;1708304;Goianorte;TO;2022;5115;Estimativa (Spline);2;0.39100684261974583;2022;0
170900;1709005;Goiatins;TO;2022;13195;Estimativa (Spline);2;0.15157256536566882;2022;0
170930;1709302;Guaraí;TO;2022;26520;Estimativa (Spline);2;0.07541478129713425;2022;0
170950;1709500;Gurupi;TO;2022;89205;Estimativa (Spline);2;0.02242026792220167;2022;0
