cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;n_equipes_esf;TAXA_EQUIPES_ESF;MES
171395;1713957;Muricilândia;TO;2024;3485;Original;24;68.86657101865136;0
171420;1714203;Natividade;TO;2024;8961;Original;60;66.95681285570807;0
171430;1714302;Nazaré;TO;2024;4660;Original;24;51.502145922746784;0
171488;1714880;Nova Olinda;TO;2024;10609;Original;48;45.24460363842021;0
171500;1715002;Nova Rosalândia;TO;2024;3403;Original;24;70.52600646488392;0
171510;1715101;Novo Acordo;TO;2024;4102;Original;24;58.50804485616773;0
171515;1715150;Novo Alegre;TO;2024;1841;Original;12;65.18196632265074;0
171525;1715259;Novo Jardim;TO;2024;2263;Original;12;53.02695536897923;0
171550;1715507;Oliveira de Fátima;TO;2024;1211;Original;12;99.0916597853014;0
171570;1715705;Palmeirante;TO;2024;4909;Original;24;48.889794255449175;0
171575;1715754;Palmeirópolis;TO;2024;7119;Original;48;67.42520016856301;0
171610;1716109;Paraíso do Tocantins;TO;2024;55164;Original;204;36.980639547531;0
171620;1716208;Paranã;TO;2024;10854;Original;48;44.223327805417355;0
171630;1716307;Pau D'Arco;TO;2024;4085;Original;24;58.751529987760094;0
171650;1716505;Pedro Afonso;TO;2024;14731;Original;84;57.02260538999389;0
171660;1716604;Peixe;TO;2024;9438;Original;72;76.28734901462174;0
171665;1716653;Pequizeiro;TO;2024;5038;Original;36;71.45692735212386;0
171670;1716703;Colméia;TO;2024;9158;Original;48;52.413190652981;0
171700;1717008;Pindorama do Tocantins;TO;2024;4596;Original;24;52.21932114882507;0
171720;1717206;Piraquê;TO;2024;2265;Original;11;48.565121412803535;0
171750;1717503;Pium;TO;2024;7375;Original;46;62.3728813559322;0
171780;1717800;Ponte Alta do Bom Jesus;TO;2024;4295;Original;24;55.87892898719441;0
171790;1717909;Ponte Alta do Tocantins;TO;2024;7842;Original;36;45.90665646518745;0
171800;1718006;Porto Alegre do Tocantins;TO;2024;2953;Original;24;81.27328140873688;0
171820;1718204;Porto Nacional;TO;2024;68555;Original;309;45.07329881117351;0
171830;1718303;Praia Norte;TO;2024;9460;Original;36;38.05496828752643;0
171840;1718402;Presidente Kennedy;TO;2024;3051;Original;24;78.66273352999018;0
171845;1718451;Pugmil;TO;2024;2231;Original;12;53.78753922008068;0
171850;1718501;Recursolândia;TO;2024;3471;Original;24;69.14433880726016;0
171855;1718550;Riachinho;TO;2024;4039;Original;24;59.420648675414704;0
171865;1718659;Rio da Conceição;TO;2024;1822;Original;12;65.86169045005488;0
171870;1718709;Rio dos Bois;TO;2024;2833;Original;12;42.35792446170138;0
171875;1718758;Rio Sono;TO;2024;4798;Original;36;75.03126302626094;0
171880;1718808;Sampaio;TO;2024;4372;Original;24;54.89478499542543;0
171884;1718840;Sandolândia;TO;2024;3873;Original;24;61.96746707978312;0
171886;1718865;Santa Fé do Araguaia;TO;2024;7489;Original;48;64.09400453999199;0
171888;1718881;Santa Maria do Tocantins;TO;2024;2726;Original;12;44.02054292002935;0
171889;1718899;Santa Rita do Tocantins;TO;2024;2291;Original;12;52.37887385421213;0
171890;1718907;Santa Rosa do Tocantins;TO;2024;4789;Original;24;50.11484652328252;0
171900;1719004;Santa Tereza do Tocantins;TO;2024;2889;Original;12;41.53686396677051;0
172000;1720002;Santa Terezinha do Tocantins;TO;2024;2463;Original;12;48.721071863580995;0
172010;1720101;São Bento do Tocantins;TO;2024;5936;Original;36;60.64690026954178;0
