cod_mun_ibge_6;ANO;UF;municipio;populacao;TMI;COBERTURA_PRENATAL;TAXA_MEDICOS;PROP_CESAREOS;PROP_MAL_DEFINIDAS;DOENCAS_CRONICAS
170025;2021;TO;Abreulândia;2576;0.0;56.666666666666664;0.3881987577639751;33.33333333333333;0.0;3.881987577639751
170030;2021;TO;Aguiarnópolis;4497;10.989010989010989;78.02197802197803;0.22237046920169;56.043956043956044;0.0;13.3422281521014
170035;2021;TO;Aliança do Tocantins;5147;14.925373134328359;77.61194029850746;0.3885758694385079;65.67164179104478;6.0606060606060606;17.485914124732854
170040;2021;TO;Almas;6499;16.260162601626018;60.16260162601627;0.307739652254193;40.65040650406504;7.6923076923076925;4.616094783812894
170070;2021;TO;Alvorada;8802;15.037593984962406;75.18796992481202;0.22722108611679165;72.93233082706767;0.0;15.905476028175414
170100;2021;TO;Ananás;10325;6.41025641025641;70.51282051282051;0.1937046004842615;47.43589743589743;0.0;14.527845036319611
170105;2021;TO;Angico;2876;0.0;78.78787878787878;0.3477051460361613;54.54545454545454;0.0;3.477051460361613
170110;2021;TO;Aparecida do Rio Negro;4856;27.777777777777775;86.11111111111111;0.41186161449752884;50.0;2.564102564102564;4.118616144975288
170130;2021;TO;Aragominas;5290;0.0;71.875;0.1890359168241966;54.6875;0.0;7.561436672967864
170190;2021;TO;Araguacema;5927;21.505376344086024;77.41935483870968;0.3374388392103931;54.83870967741935;1.7857142857142856;69.17496203813059
170200;2021;TO;Araguaçu;8133;0.0;70.2127659574468;0.24591171769334808;67.02127659574468;3.3333333333333335;41.804992007869174
170210;2021;TO;Araguaína;171301;13.442622950819672;69.54098360655738;0.01167535507673627;62.295081967213115;0.78064012490242;9.865675039842149
170215;2021;TO;Araguanã;4310;0.0;64.0625;0.46403712296983757;43.75;2.7777777777777777;32.48259860788863
170220;2021;TO;Araguatins;31918;6.5359477124183005;75.38126361655773;0.0626605677047434;38.344226579520694;3.2128514056224895;13.785324895043548
170230;2021;TO;Arapoema;5550;10.869565217391305;90.21739130434783;0.36036036036036034;55.434782608695656;2.083333333333333;34.234234234234236
170240;2021;TO;Arraias;10287;29.197080291970803;59.854014598540154;0.1944201419267036;43.06569343065693;9.195402298850574;32.079323417906096
170255;2021;TO;Augustinópolis;17484;10.0;71.0;0.11439029970258523;45.0;0.7194244604316548;12.010981468771448
170270;2021;TO;Aurora do Tocantins;3342;0.0;58.620689655172406;0.2992220227408737;37.93103448275862;6.0606060606060606;14.961101137043686
170290;2021;TO;Axixá do Tocantins;10262;10.101010101010102;55.55555555555556;0.19489378288832584;47.474747474747474;4.040404040404041;16.565971545507697
170300;2021;TO;Babaçulândia;7880;21.73913043478261;61.95652173913043;0.2538071065989848;50.0;1.8518518518518516;10.152284263959391
170305;2021;TO;Bandeirantes do Tocantins;3407;17.543859649122805;84.21052631578947;0.587026709715292;47.368421052631575;0.0;11.74053419430584
170307;2021;TO;Barra do Ouro;4476;10.638297872340425;51.06382978723404;0.22341376228775692;56.38297872340425;31.57894736842105;6.702412868632708
170310;2021;TO;Barrolândia;4846;16.393442622950822;52.459016393442624;0.41271151465125877;59.01639344262295;1.5151515151515151;12.381345439537762
170320;2021;TO;Bernardo Sayão;4229;19.607843137254903;76.47058823529412;0.4729250413809411;62.745098039215684;7.894736842105263;16.55237644833294
170330;2021;TO;Bom Jesus do Tocantins;4038;13.698630136986301;67.12328767123287;0.49529470034670625;54.794520547945204;0.0;29.717682020802375
170360;2021;TO;Brasilândia do Tocantins;1974;33.333333333333336;66.66666666666666;0.5065856129685917;70.0;0.0;5.065856129685917
170370;2021;TO;Brejinho de Nazaré;4725;0.0;76.66666666666667;0.4232804232804233;45.0;0.0;6.349206349206349
170380;2021;TO;Buriti do Tocantins;10307;6.8493150684931505;71.91780821917808;0.1940428834772485;45.89041095890411;0.0;4.851072086931212
170382;2021;TO;Cachoeirinha;1961;0.0;78.78787878787878;0.5099439061703213;54.54545454545454;0.0;10.198878123406425
170384;2021;TO;Campos Lindos;8653;5.88235294117647;78.23529411764706;0.11556685542586387;43.529411764705884;0.0;0.0
170386;2021;TO;Cariri do Tocantins;4007;0.0;83.33333333333334;0.4991265285749938;64.81481481481481;3.4482758620689653;4.991265285749938
170388;2021;TO;Carmolândia;2201;0.0;63.888888888888886;0.45433893684688775;63.888888888888886;0.0;4.543389368468878
170389;2021;TO;Carrasco Bonito;3318;36.36363636363636;61.81818181818181;0.6027727546714888;34.54545454545455;9.090909090909092;21.09704641350211
170390;2021;TO;Caseara;4847;11.76470588235294;64.70588235294117;0.20631318341242005;51.76470588235295;0.0;8.252527336496803
170410;2021;TO;Centenário;2131;0.0;60.0;0.9385265133740027;52.0;0.0;14.077897700610043
170460;2021;TO;Chapada de Areia;1501;0.0;53.84615384615385;0.6662225183211192;53.84615384615385;0.0;6.662225183211192
170510;2021;TO;Chapada da Natividade;3117;20.0;72.0;0.32082130253448826;56.00000000000001;0.0;9.624639076034649
170550;2021;TO;Colinas do Tocantins;34233;10.15228426395939;68.02030456852792;0.0584231589402039;61.25211505922166;0.8849557522123894;16.06636870855607
170555;2021;TO;Combinado;4756;37.03703703703704;68.51851851851852;0.21026072329688814;57.407407407407405;0.0;4.205214465937763
170560;2021;TO;Conceição do Tocantins;3887;17.241379310344826;91.37931034482759;0.5145356315924878;51.724137931034484;8.333333333333332;7.718034473887317
170600;2021;TO;Couto Magalhães;5331;0.0;73.41772151898735;0.37516413430876006;67.08860759493672;3.0303030303030303;1.8758206715438004
