cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;n_internacoes;DOENCAS_CRONICAS;ANO;MES
171180;1711803;Juarina;TO;2022;2178;Estimativa (Spline);0;0.0;2022;0
171190;1711902;Lagoa da Confusão;TO;2022;14429;Estimativa (Spline);11;7.623535934576201;2022;0
171195;1711951;Lagoa do Tocantins;TO;2022;4450;Estimativa (Spline);2;4.49438202247191;2022;0
171200;1712009;Lajeado;TO;2022;3252;Estimativa (Spline);7;21.52521525215252;2022;0
171215;1712157;Lavandeira;TO;2022;1977;Estimativa (Spline);11;55.639858371269604;2022;0
171240;1712405;Lizarda;TO;2022;3658;Estimativa (Spline);2;5.4674685620557675;2022;0
171245;1712454;Luzinópolis;TO;2022;3199;Estimativa (Spline);3;9.377930603313535;2022;0
171250;1712504;Marianópolis do Tocantins;TO;2022;5340;Estimativa (Spline);6;11.235955056179776;2022;0
171270;1712702;Mateiros;TO;2022;2816;Estimativa (Spline);3;10.65340909090909;2022;0
171280;1712801;Maurilândia do Tocantins;TO;2022;3460;Estimativa (Spline);2;5.780346820809249;2022;0
171320;1713205;Miracema do Tocantins;TO;2022;17518;Estimativa (Spline);18;10.275145564562164;2022;0
171330;1713304;Miranorte;TO;2022;13553;Estimativa (Spline);11;8.116284217516418;2022;0
171360;1713601;Monte do Carmo;TO;2022;8046;Estimativa (Spline);13;16.157096694009446;2022;0
171370;1713700;Monte Santo do Tocantins;TO;2022;2340;Estimativa (Spline);1;4.273504273504273;2022;0
171380;1713809;Palmeiras do Tocantins;TO;2022;6719;Estimativa (Spline);2;2.976633427593392;2022;0
171395;1713957;Muricilândia;TO;2022;3638;Estimativa (Spline);2;5.497526113249038;2022;0
171420;1714203;Natividade;TO;2022;9237;Estimativa (Spline);13;14.07383349572372;2022;0
171430;1714302;Nazaré;TO;2022;3810;Estimativa (Spline);1;2.6246719160104988;2022;0
171488;1714880;Nova Olinda;TO;2022;11962;Estimativa (Spline);11;9.19578665774954;2022;0
171500;1715002;Nova Rosalândia;TO;2022;4296;Estimativa (Spline);3;6.983240223463687;2022;0
171510;1715101;Novo Acordo;TO;2022;4457;Estimativa (Spline);1;2.243661655822302;2022;0
171515;1715150;Novo Alegre;TO;2022;2288;Estimativa (Spline);1;4.370629370629371;2022;0
171525;1715259;Novo Jardim;TO;2022;2740;Estimativa (Spline);6;21.897810218978105;2022;0
171550;1715507;Oliveira de Fátima;TO;2022;1136;Estimativa (Spline);1;8.80281690140845;2022;0
171570;1715705;Palmeirante;TO;2022;6190;Estimativa (Spline);4;6.462035541195477;2022;0
171575;1715754;Palmeirópolis;TO;2022;7659;Estimativa (Spline);8;10.445227836532185;2022;0
171610;1716109;Paraíso do Tocantins;TO;2022;53236;Estimativa (Spline);53;9.955669096100383;2022;0
171620;1716208;Paranã;TO;2022;10462;Estimativa (Spline);23;21.984324220990253;2022;0
171630;1716307;Pau D'Arco;TO;2022;4827;Estimativa (Spline);6;12.43008079552517;2022;0
171650;1716505;Pedro Afonso;TO;2022;14176;Estimativa (Spline);62;43.73589164785553;2022;0
171660;1716604;Peixe;TO;2022;11859;Estimativa (Spline);8;6.74593136014841;2022;0
171665;1716653;Pequizeiro;TO;2022;5526;Estimativa (Spline);5;9.048136083966703;2022;0
171670;1716703;Colméia;TO;2022;8134;Estimativa (Spline);14;17.21170395869191;2022;0
171700;1717008;Pindorama do Tocantins;TO;2022;4421;Estimativa (Spline);11;24.881248586292692;2022;0
171720;1717206;Piraquê;TO;2022;2973;Estimativa (Spline);9;30.272452068617557;2022;0
171750;1717503;Pium;TO;2022;7854;Estimativa (Spline);78;99.31245225362872;2022;0
171780;1717800;Ponte Alta do Bom Jesus;TO;2022;4558;Estimativa (Spline);4;8.775778850372971;2022;0
171790;1717909;Ponte Alta do Tocantins;TO;2022;8218;Estimativa (Spline);12;14.602092966658553;2022;0
171800;1718006;Porto Alegre do Tocantins;TO;2022;3200;Estimativa (Spline);7;21.875000000000004;2022;0
171820;1718204;Porto Nacional;TO;2022;55208;Estimativa (Spline);112;20.286914939863788;2022;0
171830;1718303;Praia Norte;TO;2022;8694;Estimativa (Spline);6;6.901311249137336;2022;0
171840;1718402;Presidente Kennedy;TO;2022;3608;Estimativa (Spline);10;27.71618625277162;2022;0
171845;1718451;Pugmil;TO;2022;2721;Estimativa (Spline);2;7.350238882763691;2022;0
171850;1718501;Recursolândia;TO;2022;4341;Estimativa (Spline);9;20.73255010366275;2022;0
171855;1718550;Riachinho;TO;2022;4691;Estimativa (Spline);11;23.449157962055;2022;0
171865;1718659;Rio da Conceição;TO;2022;2205;Estimativa (Spline);2;9.070294784580499;2022;0
171870;1718709;Rio dos Bois;TO;2022;2893;Estimativa (Spline);4;13.8264777048047;2022;0
171875;1718758;Rio Sono;TO;2022;6354;Estimativa (Spline);4;6.295247088448222;2022;0
171880;1718808;Sampaio;TO;2022;4891;Estimativa (Spline);6;12.267429973420569;2022;0
171884;1718840;Sandolândia;TO;2022;3416;Estimativa (Spline);12;35.1288056206089;2022;0
171886;1718865;Santa Fé do Araguaia;TO;2022;7725;Estimativa (Spline);6;7.766990291262136;2022;0
171888;1718881;Santa Maria do Tocantins;TO;2022;3501;Estimativa (Spline);9;25.706940874035986;2022;0
171889;1718899;Santa Rita do Tocantins;TO;2022;2412;Estimativa (Spline);0;0.0;2022;0
171890;1718907;Santa Rosa do Tocantins;TO;2022;4873;Estimativa (Spline);2;4.104247896572953;2022;0
171900;1719004;Santa Tereza do Tocantins;TO;2022;2948;Estimativa (Spline);0;0.0;2022;0
172000;1720002;Santa Terezinha do Tocantins;TO;2022;2524;Estimativa (Spline);4;15.847860538827259;2022;0
172010;1720101;São Bento do Tocantins;TO;2022;5550;Estimativa (Spline);10;18.01801801801802;2022;0
172015;1720150;São Félix do Tocantins;TO;2022;1642;Estimativa (Spline);1;6.090133982947624;2022;0
172020;1720200;São Miguel do Tocantins;TO;2022;12696;Estimativa (Spline);2;1.575299306868305;2022;0
172025;1720259;São Salvador do Tocantins;TO;2022;3051;Estimativa (Spline);2;6.555227794165847;2022;0
172030;1720309;São Sebastião do Tocantins;TO;2022;4869;Estimativa (Spline);4;8.215239268843705;2022;0
172049;1720499;São Valério;TO;2022;3872;Estimativa (Spline);3;7.747933884297521;2022;0
172065;1720655;Silvanópolis;TO;2022;5453;Estimativa (Spline);7;12.836970474967906;2022;0
172080;1720804;Sítio Novo do Tocantins;TO;2022;9156;Estimativa (Spline);2;2.18435998252512;2022;0
172085;1720853;Sucupira;TO;2022;1986;Estimativa (Spline);2;10.070493454179255;2022;0
172090;1720903;Taguatinga;TO;2022;16830;Estimativa (Spline);18;10.695187165775401;2022;0
172093;1720937;Taipas do Tocantins;TO;2022;2186;Estimativa (Spline);2;9.149130832570906;2022;0
172097;1720978;Talismã;TO;2022;2817;Estimativa (Spline);3;10.649627263045794;2022;0
172100;1721000;Palmas;TO;2022;319480;Estimativa (Spline);143;4.476023538249655;2022;0
172110;1721109;Tocantínia;TO;2022;7748;Estimativa (Spline);18;23.231801755291688;2022;0
172120;1721208;Tocantinópolis;TO;2022;22846;Estimativa (Spline);46;20.1348157226648;2022;0
172125;1721257;Tupirama;TO;2022;1978;Estimativa (Spline);9;45.5005055611729;2022;0
172130;1721307;Tupiratins;TO;2022;2745;Estimativa (Spline);5;18.214936247723134;2022;0
172208;1722081;Wanderlândia;TO;2022;11729;Estimativa (Spline);13;11.08363884389121;2022;0
172210;1722107;Xambioá;TO;2022;11416;Estimativa (Spline);79;69.20112123335669;2022;0
