cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;n_internacoes;DOENCAS_CRONICAS;ANO
171620;1716208;Paranã;TO;10542;22;20.868905331056727;2021
171630;1716307;Pau D'Arco;TO;4043;10;24.73410833539451;2021
171650;1716505;Pedro Afonso;TO;14055;48;34.15154749199573;2021
171660;1716604;Peixe;TO;9317;26;27.905978319201463;2021
171665;1716653;Pequizeiro;TO;4921;1;2.03210729526519;2021
171670;1716703;Colméia;TO;8941;10;11.184431271669835;2021
171700;1717008;Pindorama do Tocantins;TO;4478;5;11.165698972755694;2021
171720;1717206;Piraquê;TO;2282;2;8.76424189307625;2021
171750;1717503;Pium;TO;7128;37;51.90796857463524;2021
171780;1717800;Ponte Alta do Bom Jesus;TO;4220;9;21.327014218009477;2021
171790;1717909;Ponte Alta do Tocantins;TO;7586;3;3.9546533087266016;2021
171800;1718006;Porto Alegre do Tocantins;TO;2866;9;31.4026517794836;2021
171820;1718204;Porto Nacional;TO;64418;74;11.487472445589743;2021
171830;1718303;Praia Norte;TO;9044;2;2.2114108801415306;2021
171840;1718402;Presidente Kennedy;TO;3047;1;3.281916639317361;2021
171845;1718451;Pugmil;TO;2193;0;0.0;2021
171850;1718501;Recursolândia;TO;3421;6;17.538731365097924;2021
171855;1718550;Riachinho;TO;3960;5;12.626262626262628;2021
171865;1718659;Rio da Conceição;TO;1768;0;0.0;2021
171870;1718709;Rio dos Bois;TO;2738;0;0.0;2021
171875;1718758;Rio Sono;TO;4841;1;2.065688907250568;2021
171880;1718808;Sampaio;TO;4215;5;11.862396204033216;2021
171884;1718840;Sandolândia;TO;3723;7;18.802041364491004;2021
171886;1718865;Santa Fé do Araguaia;TO;7216;5;6.929046563192905;2021
171888;1718881;Santa Maria do Tocantins;TO;2680;8;29.850746268656717;2021
171889;1718899;Santa Rita do Tocantins;TO;2219;0;0.0;2021
171890;1718907;Santa Rosa do Tocantins;TO;4653;3;6.447453255963894;2021
171900;1719004;Santa Tereza do Tocantins;TO;2781;3;10.787486515641854;2021
172000;1720002;Santa Terezinha do Tocantins;TO;2406;1;4.156275976724855;2021
172010;1720101;São Bento do Tocantins;TO;5654;3;5.3059780686239835;2021
172015;1720150;São Félix do Tocantins;TO;1783;3;16.825574873808186;2021
172020;1720200;São Miguel do Tocantins;TO;13241;1;0.7552299675251114;2021
172025;1720259;São Salvador do Tocantins;TO;2385;0;0.0;2021
172030;1720309;São Sebastião do Tocantins;TO;4100;3;7.317073170731708;2021
172049;1720499;São Valério;TO;4422;0;0.0;2021
172065;1720655;Silvanópolis;TO;5108;3;5.873140172278779;2021
172080;1720804;Sítio Novo do Tocantins;TO;10830;2;1.8467220683287164;2021
172085;1720853;Sucupira;TO;1577;0;0.0;2021
172090;1720903;Taguatinga;TO;14011;27;19.27057312111912;2021
172093;1720937;Taipas do Tocantins;TO;2021;2;9.896091044037606;2021
172097;1720978;Talismã;TO;2456;3;12.214983713355048;2021
172100;1721000;Palmas;TO;302692;234;7.730630475863253;2021
172110;1721109;Tocantínia;TO;7459;15;20.109934307547928;2021
172120;1721208;Tocantinópolis;TO;22615;32;14.14990050851205;2021
172125;1721257;Tupirama;TO;1909;9;47.145102147721325;2021
172130;1721307;Tupiratins;TO;1874;1;5.3361792956243335;2021
172208;1722081;Wanderlândia;TO;10522;7;6.652727618323513;2021
172210;1722107;Xambioá;TO;10517;49;46.59123324141866;2021
170025;1700251;Abreulândia;TO;2576;1;3.881987577639751;2022
170030;1700301;Aguiarnópolis;TO;4497;4;8.8948187680676;2022
170035;1700350;Aliança do Tocantins;TO;5147;3;5.8286380415776184;2022
170040;1700400;Almas;TO;6499;9;13.848284351438682;2022
170070;1700707;Alvorada;TO;8802;14;15.905476028175414;2022
170100;1701002;Ananás;TO;10325;34;32.92978208232445;2022
170105;1701051;Angico;TO;2876;0;0.0;2022
170110;1701101;Aparecida do Rio Negro;TO;4856;3;6.177924217462932;2022
170130;1701309;Aragominas;TO;5290;6;11.342155009451794;2022
170190;1701903;Araguacema;TO;5927;42;70.86215623418255;2022
170200;1702000;Araguaçu;TO;8133;50;61.477929423337024;2022
170210;1702109;Araguaína;TO;171301;212;12.375876381340449;2022
170215;1702158;Araguanã;TO;4310;13;30.162412993039442;2022
170220;1702208;Araguatins;TO;31918;40;12.532113540948682;2022
170230;1702307;Arapoema;TO;5550;25;45.04504504504504;2022
170240;1702406;Arraias;TO;10287;40;38.88402838534072;2022
170255;1702554;Augustinópolis;TO;17484;22;12.582932967284373;2022
170270;1702703;Aurora do Tocantins;TO;3342;3;8.976660682226212;2022
170290;1702901;Axixá do Tocantins;TO;10262;11;10.719158058857923;2022
170300;1703008;Babaçulândia;TO;7880;9;11.421319796954316;2022
170305;1703057;Bandeirantes do Tocantins;TO;3407;8;23.48106838861168;2022
170307;1703073;Barra do Ouro;TO;4476;3;6.702412868632708;2022
170310;1703107;Barrolândia;TO;4846;8;16.50846058605035;2022
170320;1703206;Bernardo Sayão;TO;4229;11;26.01087727595176;2022
170330;1703305;Bom Jesus do Tocantins;TO;4038;10;24.764735017335312;2022
170360;1703602;Brasilândia do Tocantins;TO;1974;1;5.065856129685917;2022
170370;1703701;Brejinho de Nazaré;TO;4725;6;12.698412698412698;2022
170380;1703800;Buriti do Tocantins;TO;10307;4;3.8808576695449695;2022
170382;1703826;Cachoeirinha;TO;1961;0;0.0;2022
170384;1703842;Campos Lindos;TO;8653;8;9.24534843406911;2022
170386;1703867;Cariri do Tocantins;TO;4007;3;7.486897928624906;2022
170388;1703883;Carmolândia;TO;2201;6;27.260336210813268;2022
170389;1703891;Carrasco Bonito;TO;3318;2;6.027727546714888;2022
170390;1703909;Caseara;TO;4847;0;0.0;2022
170410;1704105;Centenário;TO;2131;1;4.692632566870014;2022
170460;1704600;Chapada de Areia;TO;1501;1;6.662225183211192;2022
170510;1705102;Chapada da Natividade;TO;3117;2;6.416426050689766;2022
170550;1705508;Colinas do Tocantins;TO;34233;52;15.190021324453012;2022
170555;1705557;Combinado;TO;4756;6;12.615643397813288;2022
170560;1705607;Conceição do Tocantins;TO;3887;3;7.718034473887317;2022
170600;1706001;Couto Magalhães;TO;5331;5;9.379103357719002;2022
170610;1706100;Cristalândia;TO;6371;4;6.278449223041909;2022
170625;1706258;Crixás do Tocantins;TO;1470;2;13.605442176870747;2022
170650;1706506;Darcinópolis;TO;5827;15;25.742234425948173;2022
170700;1707009;Dianópolis;TO;17739;21;11.838322340605444;2022
170710;1707108;Divinópolis do Tocantins;TO;7024;26;37.01594533029613;2022
170720;1707207;Dois Irmãos do Tocantins;TO;6327;0;0.0;2022
170730;1707306;Dueré;TO;4248;2;4.708097928436911;2022
170740;1707405;Esperantina;TO;7530;7;9.296148738379815;2022
170755;1707553;Fátima;TO;3467;7;20.19036631093164;2022
170765;1707652;Figueirópolis;TO;5211;0;0.0;2022
170770;1707702;Filadélfia;TO;7712;8;10.37344398340249;2022
170820;1708205;Formoso do Araguaia;TO;18881;72;38.13357343361051;2022
170825;1708254;Tabocão;TO;3455;1;2.894356005788712;2022
170830;1708304;Goianorte;TO;4738;7;14.774166314900802;2022
170900;1709005;Goiatins;TO;12433;7;5.630177752754766;2022
170930;1709302;Guaraí;TO;24775;27;10.898082744702322;2022
170950;1709500;Gurupi;TO;85125;76;8.928046989720999;2022
170980;1709807;Ipueiras;TO;1590;0;0.0;2022
171050;1710508;Itacajá;TO;6819;10;14.664906877841325;2022
171070;1710706;Itaguatins;TO;5172;4;7.733952049497294;2022
171090;1710904;Itapiratins;TO;3577;1;2.795638803466592;2022
171110;1711100;Itaporã do Tocantins;TO;2404;2;8.319467554076539;2022
171150;1711506;Jaú do Tocantins;TO;3334;0;0.0;2022
171180;1711803;Juarina;TO;2243;0;0.0;2022
171190;1711902;Lagoa da Confusão;TO;15288;11;7.195185766614339;2022
171195;1711951;Lagoa do Tocantins;TO;3516;2;5.688282138794084;2022
171200;1712009;Lajeado;TO;3357;7;20.85195114685731;2022
171215;1712157;Lavandeira;TO;1626;11;67.65067650676507;2022
171240;1712405;Lizarda;TO;2999;2;6.668889629876625;2022
171245;1712454;Luzinópolis;TO;2717;3;11.04158998895841;2022
171250;1712504;Marianópolis do Tocantins;TO;4615;6;13.001083423618637;2022
171270;1712702;Mateiros;TO;2748;3;10.91703056768559;2022
171280;1712801;Maurilândia do Tocantins;TO;3095;2;6.462035541195477;2022
171320;1713205;Miracema do Tocantins;TO;18566;18;9.695141656791986;2022
171330;1713304;Miranorte;TO;12701;11;8.66073537516731;2022
171360;1713601;Monte do Carmo;TO;5694;13;22.831050228310502;2022
171370;1713700;Monte Santo do Tocantins;TO;2396;1;4.173622704507513;2022
171380;1713809;Palmeiras do Tocantins;TO;4872;2;4.105090311986864;2022
171395;1713957;Muricilândia;TO;3367;2;5.94000594000594;2022
171420;1714203;Natividade;TO;8754;13;14.850354123829106;2022
171430;1714302;Nazaré;TO;4521;1;2.2119000221190004;2022
171488;1714880;Nova Olinda;TO;10367;11;10.610591299315136;2022
171500;1715002;Nova Rosalândia;TO;3362;3;8.92325996430696;2022
171510;1715101;Novo Acordo;TO;3969;1;2.5195263290501386;2022
171515;1715150;Novo Alegre;TO;1846;1;5.417118093174431;2022
171525;1715259;Novo Jardim;TO;2230;6;26.90582959641256;2022
171550;1715507;Oliveira de Fátima;TO;1164;1;8.59106529209622;2022
171570;1715705;Palmeirante;TO;4798;4;8.336807002917883;2022
171575;1715754;Palmeirópolis;TO;6975;8;11.469534050179211;2022
171610;1716109;Paraíso do Tocantins;TO;52360;53;10.122230710466004;2022
171620;1716208;Paranã;TO;10542;23;21.81749193701385;2022
171630;1716307;Pau D'Arco;TO;4043;6;14.840465001236705;2022
171650;1716505;Pedro Afonso;TO;14055;62;44.112415510494486;2022
171660;1716604;Peixe;TO;9317;8;8.586454867446603;2022
171665;1716653;Pequizeiro;TO;4921;5;10.16053647632595;2022
171670;1716703;Colméia;TO;8941;14;15.65820378033777;2022
171700;1717008;Pindorama do Tocantins;TO;4478;11;24.564537740062526;2022
171720;1717206;Piraquê;TO;2282;9;39.439088518843114;2022
171750;1717503;Pium;TO;7128;78;109.42760942760943;2022
171780;1717800;Ponte Alta do Bom Jesus;TO;4220;4;9.47867298578199;2022
171790;1717909;Ponte Alta do Tocantins;TO;7586;12;15.818613234906406;2022
171800;1718006;Porto Alegre do Tocantins;TO;2866;7;24.424284717376132;2022
171820;1718204;Porto Nacional;TO;64418;112;17.386444782514204;2022
171830;1718303;Praia Norte;TO;9044;6;6.6342326404245915;2022
171840;1718402;Presidente Kennedy;TO;3047;10;32.81916639317362;2022
171845;1718451;Pugmil;TO;2193;2;9.119927040583676;2022
171850;1718501;Recursolândia;TO;3421;9;26.30809704764689;2022
171855;1718550;Riachinho;TO;3960;11;27.77777777777778;2022
171865;1718659;Rio da Conceição;TO;1768;2;11.312217194570136;2022
171870;1718709;Rio dos Bois;TO;2738;4;14.609203798392988;2022
171875;1718758;Rio Sono;TO;4841;4;8.262755629002273;2022
171880;1718808;Sampaio;TO;4215;6;14.234875444839858;2022
171884;1718840;Sandolândia;TO;3723;12;32.232070910556004;2022
171886;1718865;Santa Fé do Araguaia;TO;7216;6;8.314855875831485;2022
171888;1718881;Santa Maria do Tocantins;TO;2680;9;33.582089552238806;2022
171889;1718899;Santa Rita do Tocantins;TO;2219;0;0.0;2022
171890;1718907;Santa Rosa do Tocantins;TO;4653;2;4.298302170642596;2022
171900;1719004;Santa Tereza do Tocantins;TO;2781;0;0.0;2022
172000;1720002;Santa Terezinha do Tocantins;TO;2406;4;16.62510390689942;2022
172010;1720101;São Bento do Tocantins;TO;5654;10;17.686593562079945;2022
172015;1720150;São Félix do Tocantins;TO;1783;1;5.608524957936063;2022
172020;1720200;São Miguel do Tocantins;TO;13241;2;1.5104599350502228;2022
172025;1720259;São Salvador do Tocantins;TO;2385;2;8.385744234800837;2022
172030;1720309;São Sebastião do Tocantins;TO;4100;4;9.75609756097561;2022
172049;1720499;São Valério;TO;4422;3;6.7842605156037985;2022
172065;1720655;Silvanópolis;TO;5108;7;13.703993735317148;2022
172080;1720804;Sítio Novo do Tocantins;TO;10830;2;1.8467220683287164;2022
172085;1720853;Sucupira;TO;1577;2;12.682308180088777;2022
172090;1720903;Taguatinga;TO;14011;18;12.847048747412746;2022
172093;1720937;Taipas do Tocantins;TO;2021;2;9.896091044037606;2022
172097;1720978;Talismã;TO;2456;3;12.214983713355048;2022
172100;1721000;Palmas;TO;302692;143;4.72427417969421;2022
172110;1721109;Tocantínia;TO;7459;18;24.131921169057513;2022
172120;1721208;Tocantinópolis;TO;22615;46;20.34048198098607;2022
172125;1721257;Tupirama;TO;1909;9;47.145102147721325;2022
172130;1721307;Tupiratins;TO;1874;5;26.680896478121664;2022
172208;1722081;Wanderlândia;TO;10522;13;12.355065576886524;2022
172210;1722107;Xambioá;TO;10517;79;75.11647808310354;2022
