cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_nascimentos;prenatal_7mais;COBERTURA_PRENATAL;ANO
171320;1713205;Miracema do Tocantins;TO;2021;17628;Original;295;161;54.57627118644067;2021
171330;1713304;Miranorte;TO;2021;13551;Original;175;116;66.28571428571428;2021
171360;1713601;Monte do Carmo;TO;2021;8182;Original;86;63;73.25581395348837;2021
171370;1713700;Monte Santo do Tocantins;TO;2021;2311;Original;28;20;71.42857142857143;2021
171380;1713809;Palmeiras do Tocantins;TO;2021;6830;Original;72;50;69.44444444444444;2021
171395;1713957;Muricilândia;TO;2021;3623;Original;55;45;81.81818181818183;2021
171420;1714203;Natividade;TO;2021;9256;Original;103;74;71.84466019417476;2021
171430;1714302;Nazaré;TO;2021;3772;Original;62;43;69.35483870967742;2021
171488;1714880;Nova Olinda;TO;2021;12014;Original;162;117;72.22222222222221;2021
171500;1715002;Nova Rosalândia;TO;2021;4348;Original;48;36;75.0;2021
171510;1715101;Novo Acordo;TO;2021;4450;Original;62;43;69.35483870967742;2021
171515;1715150;Novo Alegre;TO;2021;2332;Original;23;22;95.65217391304348;2021
171525;1715259;Novo Jardim;TO;2021;2768;Original;43;30;69.76744186046511;2021
171550;1715507;Oliveira de Fátima;TO;2021;1124;Original;16;14;87.5;2021
171570;1715705;Palmeirante;TO;2021;6234;Original;50;25;50.0;2021
171575;1715754;Palmeirópolis;TO;2021;7694;Original;85;68;80.0;2021
171610;1716109;Paraíso do Tocantins;TO;2021;52521;Original;795;615;77.35849056603774;2021
171620;1716208;Paranã;TO;2021;10426;Original;162;90;55.55555555555556;2021
171630;1716307;Pau D'Arco;TO;2021;4885;Original;66;49;74.24242424242425;2021
171650;1716505;Pedro Afonso;TO;2021;13964;Original;220;147;66.81818181818183;2021
171660;1716604;Peixe;TO;2021;11996;Original;130;93;71.53846153846153;2021
171665;1716653;Pequizeiro;TO;2021;5546;Original;68;55;80.88235294117648;2021
171670;1716703;Colméia;TO;2021;8078;Original;124;100;80.64516129032258;2021
171700;1717008;Pindorama do Tocantins;TO;2021;4414;Original;44;31;70.45454545454545;2021
171720;1717206;Piraquê;TO;2021;3038;Original;37;26;70.27027027027027;2021
171750;1717503;Pium;TO;2021;7830;Original;82;58;70.73170731707317;2021
171780;1717800;Ponte Alta do Bom Jesus;TO;2021;4586;Original;34;25;73.52941176470588;2021
171790;1717909;Ponte Alta do Tocantins;TO;2021;8192;Original;119;89;74.78991596638656;2021
171800;1718006;Porto Alegre do Tocantins;TO;2021;3200;Original;48;31;64.58333333333334;2021
171820;1718204;Porto Nacional;TO;2021;53618;Original;1115;779;69.86547085201794;2021
171830;1718303;Praia Norte;TO;2021;8563;Original;99;67;67.67676767676768;2021
171840;1718402;Presidente Kennedy;TO;2021;3668;Original;44;38;86.36363636363636;2021
171845;1718451;Pugmil;TO;2021;2746;Original;31;25;80.64516129032258;2021
