cod_mun_ibge_6;ANO;municipio;UF;populacao;TMI;COBERTURA_PRENATAL;TAXA_MEDICOS;PROP_CESAREOS;PROP_MAL_DEFINIDAS;TX_MAL_DEFINIDAS_P10K;DOENCAS_CRONICAS;PROP_MAE_ADOL;TAXA_DETECCAO_HANSENIASE;TAXA_INTERNACAO_GERAL;TAXA_EQUIPES_ESF;cluster_num;perfil;cor
170025;2019;Abreulândia;TO;2579;0.0;65.625;0.38774718883288095;50.0;0.0;0.0;11.632415664986429;18.75;38.774718883288095;45.754168282279956;0.0;0;Atenção Primária Efetiva;#1a9850
170030;2019;Aguiarnópolis;TO;6733;16.666666666666668;75.0;0.2970444081390168;45.0;4.761904761904762;1.4852220406950838;0.0;20.0;29.704440813901677;25.545819099955445;0.0;0;Atenção Primária Efetiva;#1a9850
170035;2019;Aliança do Tocantins;TO;5390;14.084507042253522;67.6056338028169;0.37105751391465674;64.7887323943662;1.8518518518518516;1.8552875695732838;16.697588126159555;18.30985915492958;37.105751391465674;44.526901669758814;0.0;0;Atenção Primária Efetiva;#1a9850
170040;2019;Almas;TO;7055;8.547008547008549;67.52136752136752;0.28348688873139616;42.73504273504273;13.20754716981132;9.922041105598865;8.504606661941885;25.64102564102564;70.87172218284904;38.69596031183558;0.0;0;Atenção Primária Efetiva;#1a9850
170070;2019;Alvorada;TO;8412;7.6923076923076925;69.23076923076923;0.23775558725630053;60.76923076923077;0.0;0.0;40.41844983357109;25.384615384615383;71.32667617689016;76.20066571564432;0.0;1;Sobrecarga de Doenças Crônicas;#fc8d59
170100;2019;Ananás;TO;9549;0.0;78.23529411764706;0.20944601528955914;47.647058823529406;1.8867924528301887;1.0472300764477958;18.85014137606032;31.176470588235293;41.88920305791183;59.79683736516913;0.0;1;Sobrecarga de Doenças Crônicas;#fc8d59
170105;2019;Angico;TO;3433;20.408163265306122;69.38775510204081;0.29129041654529564;61.224489795918366;12.0;8.73871249635887;2.9129041654529564;22.448979591836736;0.0;37.86775415088844;0.0;0;Atenção Primária Efetiva;#1a9850
170110;2019;Aparecida do Rio Negro;TO;4795;0.0;74.66666666666667;0.4171011470281543;52.0;4.166666666666666;2.0855057351407718;8.342022940563087;20.0;145.98540145985402;71.74139728884255;0.0;1;Sobrecarga de Doenças Crônicas;#fc8d59
170130;2019;Aragominas;TO;5758;50.0;62.5;0.1736714136853074;56.25;0.0;0.0;3.4734282737061477;17.5;34.73428273706148;43.938867662382776;0.0;3;Vulnerabilidade Social/Sanitária;#d73027
170190;2019;Araguacema;TO;7086;19.41747572815534;81.55339805825243;0.2822466836014677;45.63106796116505;0.0;0.0;16.93480101608806;28.155339805825243;70.56167090036692;35.845328817386395;0.0;0;Atenção Primária Efetiva;#1a9850
170200;2019;Araguaçu;TO;8517;9.900990099009901;84.15841584158416;0.23482446870963955;77.22772277227723;4.081632653061225;2.3482446870963956;84.53680873547023;25.742574257425744;375.7191499354233;114.12469179288482;0.0;2;Sobrecarga de Doenças Crônicas;#fc8d59
170210;2019;Araguaína;TO;180470;10.319251854240568;72.8474685585295;0.011082174322602095;65.07578200580458;0.7077856420626896;0.3878761012910733;9.918546018728874;14.995162850693324;67.04715465174267;60.64165789327866;0.0;1;Sobrecarga de Doenças Crônicas;#fc8d59
170215;2019;Araguanã;TO;5729;10.989010989010989;62.637362637362635;0.34910106475824754;53.84615384615385;3.4482758620689653;1.7455053237912377;27.928085180659803;24.175824175824175;52.365159713737135;56.72892302321522;0.0;1;Sobrecarga de Doenças Crônicas;#fc8d59
170220;2019;Araguatins;TO;35761;8.976660682226212;70.55655296229803;0.055926847683230335;44.52423698384201;5.9880239520958085;2.796342384161517;10.06683258298146;22.621184919210055;47.53782053074579;30.03271720589469;0.0;0;Atenção Primária Efetiva;#1a9850
170230;2019;Arapoema;TO;6643;0.0;79.7872340425532;0.3010687942194792;44.680851063829785;0.0;0.0;72.25651061267499;24.46808510638298;75.2671985548698;105.52461237392745;0.0;2;Sobrecarga de Doenças Crônicas;#fc8d59
170240;2019;Arraias;TO;10567;6.756756756756757;68.91891891891892;0.18926847733509983;27.027027027027028;13.88888888888889;9.463423866754992;15.141478186807987;18.91891891891892;9.463423866754992;47.12785085643986;0.0;0;Atenção Primária Efetiva;#1a9850
170255;2019;Augustinópolis;TO;18412;14.970059880239521;65.5688622754491;0.10862480990658266;50.29940119760479;0.0;0.0;4.8881164457962205;20.35928143712575;48.8811644579622;33.45644145122746;0.0;0;Atenção Primária Efetiva;#1a9850
170270;2019;Aurora do Tocantins;TO;3757;0.0;69.44444444444444;0.26616981634282677;41.66666666666667;0.0;0.0;2.6616981634282673;13.88888888888889;53.23396326856535;31.94037796113921;0.0;0;Atenção Primária Efetiva;#1a9850
170290;2019;Axixá do Tocantins;TO;9756;16.216216216216218;55.13513513513514;0.2050020500205002;44.86486486486487;5.714285714285714;4.100041000410004;5.125051250512505;21.08108108108108;41.00041000410004;25.932759327593274;0.0;0;Atenção Primária Efetiva;#1a9850
170300;2019;Babaçulândia;TO;10664;0.0;66.96428571428571;0.18754688672168043;61.60714285714286;10.16949152542373;5.626406601650412;3.7509377344336086;24.107142857142858;0.0;31.507876969242307;0.0;0;Atenção Primária Efetiva;#1a9850
170305;2019;Bandeirantes do Tocantins;TO;3553;0.0;68.0;0.5629045876723895;66.0;5.263157894736842;2.8145229383619474;25.330706445257526;28.000000000000004;0.0;67.26709822685055;0.0;1;Sobrecarga de Doenças Crônicas;#fc8d59
170307;2019;Barra do Ouro;TO;4591;12.5;60.0;0.43563493792202135;45.0;4.166666666666666;2.1781746896101066;17.425397516880853;30.0;0.0;43.34567632324112;0.0;0;Atenção Primária Efetiva;#1a9850
