cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;obitos_infantis;nascidos_vivos;TMI;COBERTURA_PRENATAL;TAXA_MEDICOS;PROP_CESAREOS;PROP_MAL_DEFINIDAS;DOENCAS_CRONICAS
170025;1700251;Abreulândia;TO;2576;1;34;29.41176470588235;82.35294117647058;0.3881987577639751;29.411764705882355;0.0;3.881987577639751
170030;1700301;Aguiarnópolis;TO;4497;0;77;0.0;80.51948051948052;0.22237046920169;53.246753246753244;0.0;8.8948187680676
170035;1700350;Aliança do Tocantins;TO;5147;2;57;35.08771929824561;73.68421052631578;0.3885758694385079;73.68421052631578;0.0;5.8286380415776184
170040;1700400;Almas;TO;6499;0;98;0.0;67.3469387755102;0.307739652254193;42.857142857142854;1.8518518518518516;13.848284351438682
170070;1700707;Alvorada;TO;8802;2;120;16.666666666666668;75.0;0.22722108611679165;74.16666666666667;0.0;15.905476028175414
170100;1701002;Ananás;TO;10325;0;135;0.0;67.4074074074074;0.1937046004842615;54.074074074074076;0.0;32.92978208232445
170105;1701051;Angico;TO;2876;1;41;24.390243902439025;87.8048780487805;0.6954102920723226;53.65853658536586;0.0;0.0
170110;1701101;Aparecida do Rio Negro;TO;4856;0;78;0.0;74.35897435897436;0.41186161449752884;50.0;0.0;6.177924217462932
170130;1701309;Aragominas;TO;5290;1;69;14.492753623188406;79.71014492753623;0.1890359168241966;60.86956521739131;0.0;11.342155009451794
170190;1701903;Araguacema;TO;5927;2;71;28.169014084507044;78.87323943661971;0.3374388392103931;49.29577464788733;0.0;70.86215623418255
170200;1702000;Araguaçu;TO;8133;0;104;0.0;71.15384615384616;0.24591171769334808;68.26923076923077;1.6129032258064515;61.477929423337024
170210;1702109;Araguaína;TO;171301;28;2961;9.456264775413711;72.44174265450862;0.01167535507673627;65.11313745356298;2.1455223880597014;12.375876381340449
170215;1702158;Araguanã;TO;4310;3;45;66.66666666666667;68.88888888888889;0.46403712296983757;48.888888888888886;7.6923076923076925;30.162412993039442
170220;1702208;Araguatins;TO;31918;8;473;16.913319238900634;73.57293868921776;0.0626605677047434;40.803382663847785;5.392156862745098;12.532113540948682
170230;1702307;Arapoema;TO;5550;0;82;0.0;90.2439024390244;0.36036036036036034;48.78048780487805;6.122448979591836;45.04504504504504
170240;1702406;Arraias;TO;10287;1;105;9.523809523809526;75.23809523809524;0.1944201419267036;54.285714285714285;12.82051282051282;38.88402838534072
170255;1702554;Augustinópolis;TO;17484;2;293;6.825938566552901;78.15699658703072;0.11439029970258523;50.85324232081911;2.479338842975207;12.582932967284373
170270;1702703;Aurora do Tocantins;TO;3342;0;24;0.0;75.0;0.2992220227408737;50.0;4.166666666666666;8.976660682226212
170290;1702901;Axixá do Tocantins;TO;10262;1;164;6.097560975609756;71.34146341463415;0.19489378288832584;45.73170731707317;2.197802197802198;10.719158058857923
170300;1703008;Babaçulândia;TO;7880;0;93;0.0;81.72043010752688;0.2538071065989848;58.06451612903226;3.1746031746031744;11.421319796954316
170305;1703057;Bandeirantes do Tocantins;TO;3407;2;50;40.0;68.0;0.587026709715292;66.0;4.761904761904762;23.48106838861168
170307;1703073;Barra do Ouro;TO;4476;1;68;14.705882352941176;63.23529411764706;0.44682752457551383;39.705882352941174;0.0;6.702412868632708
170310;1703107;Barrolândia;TO;4846;1;61;16.393442622950822;49.18032786885246;0.41271151465125877;44.26229508196721;4.545454545454546;16.50846058605035
170320;1703206;Bernardo Sayão;TO;4229;1;45;22.22222222222222;93.33333333333333;0.4729250413809411;51.11111111111111;8.695652173913043;26.01087727595176
170330;1703305;Bom Jesus do Tocantins;TO;4038;1;85;11.76470588235294;81.17647058823529;0.49529470034670625;71.76470588235294;3.8461538461538463;24.764735017335312
170360;1703602;Brasilândia do Tocantins;TO;1974;0;28;0.0;57.14285714285714;0.5065856129685917;53.57142857142857;0.0;5.065856129685917
170370;1703701;Brejinho de Nazaré;TO;4725;0;53;0.0;77.35849056603774;0.4232804232804233;45.28301886792453;1.9230769230769231;12.698412698412698
170380;1703800;Buriti do Tocantins;TO;10307;1;120;8.333333333333334;79.16666666666666;0.1940428834772485;41.66666666666667;0.0;3.8808576695449695
170382;1703826;Cachoeirinha;TO;1961;0;26;0.0;61.53846153846154;0.5099439061703213;76.92307692307693;6.25;0.0
170384;1703842;Campos Lindos;TO;8653;3;160;18.75;80.625;0.23113371085172774;53.75;0.0;9.24534843406911
170386;1703867;Cariri do Tocantins;TO;4007;0;59;0.0;93.22033898305084;0.4991265285749938;66.10169491525424;0.0;7.486897928624906
170388;1703883;Carmolândia;TO;2201;0;27;0.0;70.37037037037037;0.45433893684688775;51.85185185185185;0.0;27.260336210813268
170389;1703891;Carrasco Bonito;TO;3318;0;54;0.0;85.18518518518519;0.6027727546714888;44.44444444444444;3.4482758620689653;6.027727546714888
170390;1703909;Caseara;TO;4847;0;62;0.0;75.80645161290323;0.4126263668248401;45.16129032258064;5.263157894736842;0.0
170410;1704105;Centenário;TO;2131;1;15;66.66666666666667;60.0;0.46926325668700136;53.333333333333336;0.0;4.692632566870014
170460;1704600;Chapada de Areia;TO;1501;0;26;0.0;57.692307692307686;1.3324450366422385;53.84615384615385;0.0;6.662225183211192
170510;1705102;Chapada da Natividade;TO;3117;0;43;0.0;79.06976744186046;0.32082130253448826;55.81395348837209;0.0;6.416426050689766
170550;1705508;Colinas do Tocantins;TO;34233;6;511;11.741682974559687;74.75538160469667;0.0584231589402039;70.0587084148728;0.4464285714285714;15.190021324453012
170555;1705557;Combinado;TO;4756;0;57;0.0;80.7017543859649;0.21026072329688814;70.17543859649122;0.0;12.615643397813288
